,url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,number_of_subdirectories,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_subdomains_and_extensions,number_of_spaces,number_of_zeros,is_url_single_character_directory,number_of_uppercase,number_of_lowercase,ratio_upper_to_lower,number_of_double_slashes,target
190,32,1,0,0,0,0,False,0,1,24,2,False,False,False,False,2,False,0,2,0,0,0,0,24,0.0,1,0
191,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,1,False,1,2,0,0,0,0,21,0.0,1,0
192,52,24,0,0,0,0,False,0,2,21,4,False,False,False,False,0,False,0,2,0,0,0,0,43,0.0,1,0
193,22,1,0,0,0,0,False,0,1,14,2,False,False,False,False,0,False,0,2,0,0,0,0,16,0.0,1,0
194,42,18,0,5,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,1,0,0,29,0.0,1,0
195,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
196,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
197,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
198,34,0,0,0,0,0,False,0,0,27,2,False,False,False,False,0,False,1,2,0,0,0,0,29,0.0,1,0
199,25,0,0,0,0,0,False,0,0,18,3,False,False,False,False,0,False,0,3,0,0,0,0,19,0.0,1,0
200,37,1,0,0,0,0,False,0,1,29,2,False,False,False,False,0,False,0,2,0,0,0,0,31,0.0,1,0
201,21,1,0,0,0,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,15,0.0,1,0
202,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
203,36,6,0,0,0,0,False,0,2,23,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
204,21,1,0,0,0,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,15,0.0,1,0
205,86,64,0,14,0,0,False,0,8,15,3,False,False,False,False,0,False,0,2,0,3,0,0,58,0.0,1,0
206,35,12,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,28,0.0,1,0
207,42,18,0,5,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,2,0,0,29,0.0,1,0
208,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
209,29,0,0,0,0,0,False,0,0,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
210,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
211,29,1,0,0,0,0,False,0,1,21,2,False,False,False,False,0,False,0,2,0,0,0,0,23,0.0,1,0
212,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
213,40,18,0,0,0,0,False,0,2,15,3,False,False,False,False,0,False,0,2,0,0,0,0,32,0.0,1,0
214,36,12,0,5,0,0,False,0,2,17,2,False,False,False,False,0,False,0,2,0,1,0,0,24,0.0,1,0
215,35,1,0,0,0,0,False,0,1,27,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
216,27,1,0,0,0,0,False,0,1,19,3,False,False,False,False,0,False,0,3,0,0,0,0,20,0.0,1,0
217,27,3,0,0,0,0,False,0,2,17,2,False,False,False,False,0,False,0,2,0,0,1,0,20,0.0,1,0
218,25,0,0,0,0,0,False,0,0,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
219,77,17,0,0,1,0,False,0,2,26,5,False,False,False,False,0,False,0,4,0,0,0,0,63,0.0,1,0
220,34,12,0,3,0,0,False,0,2,15,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
221,43,11,0,1,0,0,True,1,2,25,3,False,False,False,False,0,False,0,3,0,0,0,0,33,0.0,1,0
222,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
223,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,0,False,0,2,0,0,0,0,27,0.0,1,0
